#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jul 07 17:44:39 2026

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       map.ncd
#OUTPUT FILE:      msb_main_pad.csv
#PART TYPE:        xc6slx4
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P65,spi_stm32_miso,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,TRISTATE,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P66,,IOBS,IO_L2N_CMPMOSI_2,UNUSED,,2,,,,,,,,,
P67,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,,IOBM,IO_L1P_CCLK_2,UNUSED,,2,,,,,,,,,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
P75,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P79,tp<5>,IOB,IO_L47P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P80,tp<6>,IOB,IO_L46N_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P81,tp<7>,IOB,IO_L46P_1,OUTPUT,LVCMOS33,1,12,SLOW,,,,LOCATED,NO,NONE,
P82,,IOBS,IO_L45N_1,UNUSED,,1,,,,,,,,,
P83,,IOBM,IO_L45P_1,UNUSED,,1,,,,,,,,,
P84,,IOBS,IO_L43N_GCLK4_1,UNUSED,,1,,,,,,,,,
P85,,IOBM,IO_L43P_GCLK5_1,UNUSED,,1,,,,,,,,,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,,IOBS,IO_L42N_GCLK6_TRDY1_1,UNUSED,,1,,,,,,,,,
P88,REM,IOB,IO_L42P_GCLK7_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,,IOBS,IO_L41N_GCLK8_1,UNUSED,,1,,,,,,,,,
P93,UR,IOB,IO_L41P_GCLK9_IRDY1_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P94,WS,IOB,IO_L40N_GCLK10_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P95,,IOBM,IO_L40P_GCLK11_1,UNUSED,,1,,,,,,,,,
P96,,,GND,,,,,,,,,,,,
P97,,IOBS,IO_L34N_1,UNUSED,,1,,,,,,,,,
P98,RST_FILTR,IOB,IO_L34P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P99,BTN_CANNON,IOB,IO_L33N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P100,,IOBM,IO_L33P_1,UNUSED,,1,,,,,,,,,
P101,K1,IOB,IO_L32N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P102,SCF_ON_ADD,IOB,IO_L32P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,SCF_ON,IOB,IO_L1N_VREF_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P105,PSCC,IOB,IO_L1P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
